eta3,n,i,j,z_rest_int,trial_id,kappa_true,kappa_hat,a_true,b_true,cos_a_hat,sin_a_hat,cos_b_hat,sin_b_hat,amp_a,amp_b
0.2,2,0,1,0,0,1,0.941514058,0.5,-0.5,0.876953125,0.446289063,0.875,-0.4453125,0.983982068,0.981798463
0.2,2,0,1,0,1,1,1.042716879,0.5,-0.5,0.87890625,0.4921875,0.845703125,-0.498046875,1.007335461,0.981460374
0.2,2,0,1,0,2,1,1.031362157,0.5,-0.5,0.887695313,0.51171875,0.869140625,-0.484375,1.024626296,0.994999782
0.2,2,0,1,0,3,1,0.985669456,0.5,-0.5,0.891601563,0.489257813,0.8828125,-0.463867188,1.017018463,0.997261589
0.2,2,0,1,0,4,1,0.987603571,0.5,-0.5,0.889648438,0.46875,0.8828125,-0.485351563,1.005584857,1.00743439
0.2,2,0,1,0,5,1,1.026336375,0.5,-0.5,0.857421875,0.483398438,0.872070313,-0.491210938,0.984299914,1.000897005
0.2,2,0,1,0,6,1,0.969830744,0.5,-0.5,0.872070313,0.4609375,0.872070313,-0.458007813,0.986392421,0.985026795
0.2,2,0,1,0,7,1,1.043837254,0.5,-0.5,0.87890625,0.5,0.870117188,-0.505859375,1.011175651,1.006477832
0.2,2,0,1,0,8,1,0.975956003,0.5,-0.5,0.872070313,0.452148438,0.880859375,-0.478515625,0.982316059,1.002442239
0.2,2,0,1,0,9,1,1.016023745,0.5,-0.5,0.877929688,0.509765625,0.87890625,-0.46875,1.015195316,0.99609375
0.2,2,0,1,0,10,1,0.97798804,0.5,-0.5,0.877929688,0.442382813,0.880859375,-0.494140625,0.983088546,1.009994156
0.2,2,0,1,0,11,1,0.984476747,0.5,-0.5,0.87109375,0.453125,0.873046875,-0.482421875,0.981899479,0.997467649
0.2,2,0,1,0,12,1,0.949501132,0.5,-0.5,0.8984375,0.458984375,0.887695313,-0.458984375,1.008888794,0.999334591
