run_id,eta3,n,i,j,trial_id,num_contexts,kappa_ctx_R_trial,kappa_ctx_circ_var_trial,kappa_ctx_circ_mean_trial,amp_min_mean_ctx_trial,amp_min_q10_ctx_trial,shots_per_setting
20260111_161256,0.2,2,0,1,0,1,1,0,0.941514058,0.981798463,0.981798463,2048
20260111_161256,0.2,2,0,1,1,1,1,0,1.042716879,0.981460374,0.981460374,2048
20260111_161256,0.2,2,0,1,2,1,1,1.11E-16,1.031362157,0.994999782,0.994999782,2048
20260111_161256,0.2,2,0,1,3,1,1,1.11E-16,0.985669456,0.997261589,0.997261589,2048
20260111_161256,0.2,2,0,1,4,1,1,-2.22E-16,0.987603571,1.005584857,1.005584857,2048
20260111_161256,0.2,2,0,1,5,1,1,0,1.026336375,0.984299914,0.984299914,2048
20260111_161256,0.2,2,0,1,6,1,1,0,0.969830744,0.985026795,0.985026795,2048
20260111_161256,0.2,2,0,1,7,1,1,1.11E-16,1.043837254,1.006477832,1.006477832,2048
20260111_161256,0.2,2,0,1,8,1,1,1.11E-16,0.975956003,0.982316059,0.982316059,2048
20260111_161256,0.2,2,0,1,9,1,1,0,1.016023745,0.99609375,0.99609375,2048
20260111_161256,0.2,2,0,1,10,1,1,0,0.97798804,0.983088546,0.983088546,2048
20260111_161256,0.2,2,0,1,11,1,1,0,0.984476747,0.981899479,0.981899479,2048
20260111_161256,0.2,2,0,1,12,1,1,0,0.949501132,0.999334591,0.999334591,2048
20260111_161256,0.2,2,0,1,13,1,1,1.11E-16,1.025117,0.989622149,0.989622149,2048
20260111_161256,0.2,2,0,1,14,1,1,0,0.961732006,0.978477127,0.978477127,2048
20260111_161256,0.2,2,0,1,15,1,1,1.11E-16,1.014880801,0.991965442,0.991965442,2048
20260111_161256,0.2,2,0,1,16,1,1,0,0.998231047,1.006934441,1.006934441,2048
20260111_161256,0.2,2,0,1,17,1,1,1.11E-16,0.992862757,0.996829251,0.996829251,2048
20260111_161256,0.2,2,0,1,18,1,1,1.11E-16,1.032980855,0.987922694,0.987922694,2048
20260111_161256,0.2,2,0,1,19,1,1,0,0.99418755,1.002370409,1.002370409,2048
20260111_161244,0.2,3,0,1,0,2,0.999292867,0.000707133,0.983064439,0.990019889,0.982251742,2048
20260111_161244,0.2,3,0,1,1,2,0.995382855,0.004617145,1.022403153,0.986302066,0.981125567,2048
20260111_161244,0.2,3,0,1,2,2,0.996308077,0.003691923,1.015881513,0.989337526,0.982937074,2048
20260111_161244,0.2,3,0,1,3,2,0.998295728,0.001704272,1.000999495,0.997450386,0.996839813,2048
20260111_161244,0.2,3,0,1,4,2,0.998642674,0.001357326,1.00560747,1.003744506,0.999997816,2048
20260111_161244,0.2,3,0,1,5,2,0.996682973,0.003317027,1.018877161,0.991707944,0.990886888,2048
20260111_161244,0.2,3,0,1,6,2,0.998206935,0.001793065,0.988492416,0.991488668,0.984584622,2048
20260111_161244,0.2,3,0,1,7,2,0.996314058,0.003685942,1.031394004,0.992045753,0.983544023,2048
20260111_161244,0.2,3,0,1,8,2,0.999379072,0.000620928,1.010898678,0.994585489,0.98538095,2048
20260111_161244,0.2,3,0,1,9,2,0.996957397,0.003042603,1.010034776,1.003590168,1.002525684,2048
20260111_161244,0.2,3,0,1,10,2,0.999269416,0.000730584,1.019606961,0.982859319,0.982706981,2048
20260111_161244,0.2,3,0,1,11,2,0.996606033,0.003393967,0.981570183,0.990176602,0.983525765,2048
20260111_161244,0.2,3,0,1,12,2,0.999032545,0.000967455,0.984688082,0.99734518,0.996068253,2048
20260111_161244,0.2,3,0,1,13,2,0.997497969,0.002502031,1.03115741,0.987332494,0.983933843,2048
20260111_161244,0.2,3,0,1,14,2,0.997960033,0.002039967,0.966213692,0.978261434,0.977678464,2048
20260111_161244,0.2,3,0,1,15,2,0.995628625,0.004371375,0.992400099,0.985144003,0.982342062,2048
20260111_161244,0.2,3,0,1,16,2,0.996826085,0.003173915,0.990720126,1.000960992,0.994800264,2048
20260111_161244,0.2,3,0,1,17,2,0.996799164,0.003200836,0.988630888,1.000464811,0.998903418,2048
20260111_161244,0.2,3,0,1,18,2,0.996791232,0.003208768,1.019015146,0.976253933,0.968486635,2048
20260111_161244,0.2,3,0,1,19,2,0.996093135,0.003906865,0.978445687,1.000223432,0.996061764,2048
20260111_161159,0.2,4,0,1,0,4,0.994176443,0.005823557,0.997996963,0.997385183,0.991461035,2048
20260111_161159,0.2,4,0,1,1,4,0.990573715,0.009426285,1.007691673,0.996444083,0.993096819,2048
20260111_161159,0.2,4,0,1,2,4,0.991578994,0.008421006,0.995211846,0.997222642,0.993625492,2048
20260111_161159,0.2,4,0,1,3,4,0.992869235,0.007130765,0.972766592,0.999390435,0.998090313,2048
20260111_161159,0.2,4,0,1,4,4,0.991817526,0.008182474,0.99329569,0.992690434,0.983458954,2048
20260111_161159,0.2,4,0,1,5,4,0.993785663,0.006214337,1.037223027,0.995321102,0.988772903,2048
